Frequency [Hz],Amplitude [dB]
244000,-25.688356947908215
245000,-25.474426294429147
246000,-25.291778793377805
247000,-24.98617292830056
248000,-24.70935491326247
249000,-24.554207651812316
250000,-24.21568094107582
251000,-24.012812012018045
252000,-23.814666332885697
253000,-23.59957155152194
254000,-23.306504765020797
255000,-23.154435794206435
256000,-22.935329503919377
257000,-22.63504854151428
258000,-22.513328204268348
259000,-22.319150990417395
260000,-22.05734075805591
261000,-21.881956998537458
262000,-21.718736745296077
263000,-21.457752612679
264000,-21.298316815527368
265000,-21.085638814428275
266000,-20.901609599745846
267000,-20.67559075515012
268000,-20.455411288062756
269000,-20.25529896096448
270000,-20.106076447086984
271000,-19.844401819986825
272000,-19.66140946649811
273000,-19.52221754133381
274000,-19.25173460727367
275000,-19.096822482770634
276000,-18.98534182286736
277000,-18.755524565809875
278000,-18.552575842110624
279000,-18.427462273252488
280000,-18.249370956002345
281000,-18.086227139148598
282000,-17.917868233226784
283000,-17.779981427531567
284000,-17.630930742616545
285000,-17.47658314105166
286000,-17.335343615090718
287000,-17.19898093207512
288000,-17.034793831859027
289000,-16.91055712006966
290000,-16.79056310805457
291000,-16.622177483448862
292000,-16.5132548212484
293000,-16.41966322388995
294000,-16.31105489411953
295000,-16.16318431872198
296000,-16.066751224387126
297000,-15.942832707816194
298000,-15.842400451539923
299000,-15.73459484336669
300000,-15.6408777041772
301000,-15.531457050834277
302000,-15.469031126359614
303000,-15.337271477451544
304000,-15.280372770507519
305000,-15.229933565915726
306000,-15.153765916618312
307000,-15.066413972775685
308000,-15.001570937623466
309000,-14.970479264864043
310000,-14.908449147485264
311000,-14.831149312297484
312000,-14.77360175340063
313000,-14.748789224731517
314000,-14.709540515299636
315000,-14.61505370928208
316000,-14.566311069059267
317000,-14.546994185238084
318000,-14.544771584199157
319000,-14.494260691813217
320000,-14.429144935130424
321000,-14.3855926141553
322000,-14.366439274524552
323000,-14.376960248634116
324000,-14.312899239205539
325000,-14.283542134782628
326000,-14.25974265760616
327000,-14.233490814260513
328000,-14.231204786645627
329000,-14.165899365728752
330000,-14.131906132153532
331000,-14.119342245696437
332000,-14.124842419412637
333000,-14.096298111036951
334000,-14.078527369627707
335000,-14.056171965716327
