Frequency [Hz], Amplitude [dB], Phase [deg]
540280.5611222445, -43.368122, -18.180649
542384.7695390782, -43.443508, -18.222549
544488.9779559118, -43.460384, -18.3806
546593.1863727455, -43.447788, -18.304825
548697.3947895791, -43.413792, -18.233994
550801.6032064129, -43.475536, -18.537247
552905.8116232464, -43.458172, -18.411667
555010.0200400802, -43.444862, -18.740952
557114.2284569138, -43.488983, -18.386063
559218.4368737475, -43.491798, -18.442352
561322.6452905812, -43.490047, -18.763718
563426.8537074148, -43.525928, -18.733154
565531.0621242485, -43.521057, -18.555023
567635.2705410821, -43.526459, -18.595276
569739.4789579159, -43.516422, -18.743698
571843.6873747495, -43.528984, -18.665344
573947.8957915832, -43.549286, -18.725693
576052.1042084169, -43.491196, -18.568253
578156.3126252505, -43.525253, -18.771194
580260.5210420842, -43.522514, -18.980347
582364.7294589179, -43.531853, -18.725403
584468.9378757515, -43.546833, -18.89888
586573.1462925852, -43.549522, -18.881439
588677.3547094188, -43.522362, -18.626953
590781.5631262525, -43.558769, -19.012711
592885.7715430862, -43.547787, -19.24675
594989.9799599198, -43.591297, -19.23259
597094.1883767535, -43.581093, -19.079865
599198.3967935871, -43.570057, -18.885239
601302.6052104208, -43.573387, -19.217117
603406.8136272546, -43.599556, -19.120117
605511.0220440882, -43.604683, -18.808502
607615.2304609219, -43.591301, -19.50618
609719.4388777555, -43.622498, -19.397873
611823.6472945892, -43.637695, -19.201202
613927.8557114229, -43.62151, -19.458572
616032.0641282565, -43.649754, -19.412384
618136.2725450902, -43.630756, -19.474472
620240.4809619238, -43.681656, -19.179962
622344.6893787575, -43.677044, -19.196198
624448.8977955912, -43.690304, -19.555832
626553.1062124248, -43.685165, -19.501144
628657.3146292585, -43.665977, -19.406006
630761.5230460921, -43.665329, -19.383179
632865.7314629259, -43.66988, -19.173599
634969.9398797596, -43.671028, -19.584167
637074.1482965932, -43.700752, -19.589172
639178.3567134269, -43.734203, -19.679291
641282.5651302605, -43.738495, -19.775055
643386.7735470942, -43.704643, -19.741531
645490.9819639279, -43.725697, -19.544403
647595.1903807615, -43.750313, -19.634979
649699.3987975952, -43.742817, -19.893143
651803.6072144288, -43.759312, -19.781036
653907.8156312625, -43.751751, -19.492584
656012.0240480962, -43.756817, -19.880096
658116.2324649298, -43.73624, -19.942825
660220.4408817636, -43.759911, -19.945358
662324.6492985972, -43.781227, -19.728531
664428.8577154309, -43.803211, -20.047363
666533.0661322646, -43.841721, -20.152618
668637.2745490982, -43.796364, -19.917343
670741.4829659319, -43.804028, -19.876373
672845.6913827655, -43.792332, -19.965424
674949.8997995992, -43.826939, -19.973953
677054.1082164329, -43.834389, -19.98085
679158.3166332665, -43.848183, -20.049973
681262.5250501002, -43.792511, -19.945801
