Frequency [Hz],Amplitude [dB]
315000,-14.485194740805465
316000,-14.402717737227366
317000,-14.410847709615958
318000,-14.394822036214862
319000,-14.43595623349487
320000,-14.403480589312046
321000,-14.375846042561047
322000,-14.369191322023699
323000,-14.352618220093728
324000,-14.3585734732407
325000,-14.350243052180964
326000,-14.347696730149657
327000,-14.358557790928792
328000,-14.312224076067096
329000,-14.290314573988866
330000,-14.239579302319449
331000,-14.239535087364683
332000,-14.278977859175985
333000,-14.27620128309524
334000,-14.219094588995052
335000,-14.23991444085841
336000,-14.223633211833032
337000,-14.239264434312194
338000,-14.241965540025188
339000,-14.169736339873307
340000,-14.104977187059674
341000,-14.151046512189165
342000,-14.207848786913267
343000,-14.201888992513673
344000,-14.22628956730549
345000,-14.12366844127256
346000,-14.142532999759045
347000,-14.167218868518663
348000,-14.151094115056338
349000,-14.152246699769837
350000,-14.122708205800443
351000,-14.057444668999896
352000,-14.11124211354781
353000,-14.10323537647735
354000,-14.109323893056935
355000,-14.061198280219713
356000,-14.102263016412603
357000,-14.129210391554732
358000,-14.088029608904176
359000,-14.0694157982754
360000,-14.009144896260384
361000,-14.022629489511441
362000,-14.07275905501644
363000,-14.062183581536491
364000,-13.997662273742375
365000,-13.976539860494615
366000,-13.93341291045801
367000,-13.98950114681649
368000,-14.046977506737619
369000,-13.95086933233221
370000,-13.950521219685676
371000,-13.969285073262988
372000,-13.953347320648518
373000,-13.945554341592612
374000,-13.999012017979787
375000,-13.95450306449516
376000,-13.941434163449536
377000,-13.951907864643616
378000,-14.005178508779721
379000,-13.94786353206834
380000,-13.945413915530658
381000,-13.910062093501729
382000,-13.905015071871649
383000,-13.959055023290588
384000,-13.967224399104328
385000,-13.954118598769039
386000,-13.972953590710695
387000,-13.895489725331323
388000,-13.871994331982936
389000,-13.879252893382564
390000,-13.89272523190549
391000,-13.885848906666517
392000,-13.925825153296444
393000,-13.928012817218523
394000,-13.93092136414159
395000,-13.912647910298915
396000,-13.856984239485339
397000,-13.960440419615562
398000,-13.907694622074445
399000,-13.937051529450837
400000,-13.817285109628887
401000,-13.84125254826986
402000,-13.855606183408227
403000,-13.898101237456554
404000,-13.905136186481212
405000,-13.86570747276403
406000,-13.87679660282462
407000,-13.887641357237897
408000,-13.84562661280269
409000,-13.89598598180562
410000,-13.918816097019079
411000,-13.916471858799731
412000,-13.886390857463972
413000,-13.870877023869305
414000,-13.894964427830406
415000,-13.853348516266415
416000,-13.877473420169096
417000,-13.944167608584127
418000,-13.923293491161832
419000,-13.861438064955092
420000,-13.795840450113001
421000,-13.833221465253352
422000,-13.833575777108447
423000,-13.866082121986278
424000,-13.906148711094946
425000,-13.894105253358617
426000,-13.881242985058158
427000,-13.828038259213567
428000,-13.804663806384461
429000,-13.833255848707562
430000,-13.852050756785161
431000,-13.895006395432155
432000,-13.90067325558423
433000,-13.881687956587193
434000,-13.860896552750802
435000,-13.853354906710226
436000,-13.844483080300392
437000,-13.850139544039529
438000,-13.872486984594904
439000,-13.917936563021371
440000,-13.933111349302987
441000,-13.949426430234833
442000,-13.890218933254655
443000,-13.89325502356375
444000,-13.89143190003906
445000,-13.912978061599205
446000,-13.89795575253083
447000,-13.930241002879004
448000,-13.95312963726165
449000,-13.868346781931287
450000,-13.835511870445377
451000,-13.814748904080883
452000,-13.8561083723345
453000,-13.859164303193328
454000,-13.894028874811521
455000,-13.929985428416536
456000,-13.989162674342786
457000,-13.955921156791725
458000,-13.889987040602577
459000,-13.861368223147597
460000,-13.827407975919396
461000,-13.876496040406423
462000,-13.895471406797398
463000,-13.923310447770554
464000,-13.947713942264052
465000,-13.888637172390801
466000,-13.894376470235951
467000,-13.884411697873876
468000,-13.86625655149339
469000,-13.941477249674982
470000,-13.93126261340959
471000,-13.884798926199874
472000,-13.957352887764259
473000,-14.04713066054687
474000,-13.985721951131733
475000,-13.991492084025019
476000,-13.96568835039162
477000,-13.92607451498457
478000,-13.928026264686643
479000,-13.904455567304652
480000,-13.946489503301184
481000,-14.005896146271937
482000,-14.048708106415823
483000,-14.046409298876974
484000,-13.991515000879488
485000,-13.954513020120622
486000,-13.958189606674075
487000,-13.974649941850721
488000,-13.973438313400568
489000,-13.955095026520397
490000,-14.058692603510387
491000,-14.1403616387155
492000,-14.027897176730804
493000,-14.031011491101395
494000,-14.013313834996705
495000,-13.968085593404304
496000,-13.963171597068168
497000,-13.974544592825524
498000,-13.977663845032787
499000,-14.02167226308978
500000,-14.097818534802315
501000,-14.147706127876184
502000,-14.088212959366242
503000,-14.078203065278572
504000,-14.048927551676503
505000,-13.982646283335853
506000,-13.991162286187116
507000,-14.03353928130225
508000,-14.042071869955759
509000,-14.026779432270171
510000,-14.114014184196474
511000,-14.158419465768898
512000,-14.115079108257188
513000,-14.143672581372442
514000,-14.057019643428678
515000,-14.100847867126884
516000,-14.099237705136957
517000,-14.067056873609072
518000,-14.070492055301425
519000,-14.057340271398402
520000,-14.13509540783414
521000,-14.179182555435375
522000,-14.189885345128271
523000,-14.176555273085846
524000,-14.208969961626906
525000,-14.20115361133773
526000,-14.153970017171925
527000,-14.168012639507925
528000,-14.124005913816955
529000,-14.113510592442662
530000,-14.14403244136146
531000,-14.202127906715635
532000,-14.20449467809173
533000,-14.271307549142115
534000,-14.260471979420217
535000,-14.205824569485973
536000,-14.214451190035216
537000,-14.135903862575056
538000,-14.191079806880623
539000,-14.188247237828548
540000,-14.194126858086285
541000,-14.316427327387292
542000,-14.333435997259969
543000,-14.266743727039326
544000,-14.345207547517035
545000,-14.303497675581912
546000,-14.259287801809137
547000,-14.255601472219787
548000,-14.228308104124487
549000,-14.265443764700422
550000,-14.27410865526873
551000,-14.20169715091351
552000,-14.210356420703231
553000,-14.252974955006952
554000,-14.297732779801517
555000,-14.36507706192501
556000,-14.409589553164842
557000,-14.421164462938123
558000,-14.340878325640738
559000,-14.327225849005043
560000,-14.316372600579072
561000,-14.29163398204777
562000,-14.29095680632572
563000,-14.29965683519358
564000,-14.283625467183626
565000,-14.306301103134942
566000,-14.339495118611122
567000,-14.35946207909804
568000,-14.453202252334734
569000,-14.439314983929506
570000,-14.427016501878018
571000,-14.43014812017817
572000,-14.412244469990785
573000,-14.373135073709875
574000,-14.389738183552144
575000,-14.339450053951822
576000,-14.387539458656125
577000,-14.420629215865198
578000,-14.454701858338236
579000,-14.471814145291322
580000,-14.486282532184681
581000,-14.563377385792812
582000,-14.598028940022449
583000,-14.545992068861633
584000,-14.506375567066172
585000,-14.477480051753481
586000,-14.469261081975802
587000,-14.486705954562716
588000,-14.518256146638112
589000,-14.531463421429713
590000,-14.560197836548962
591000,-14.555459578728861
592000,-14.621723557275857
593000,-14.63005910563924
594000,-14.6996417429941
595000,-14.679574475725264
596000,-14.659452547672895
597000,-14.630718580253294
598000,-14.618063646580513
599000,-14.615410470199539
600000,-14.667059610435949
601000,-14.603914046131539
602000,-14.61517257371759
603000,-14.589589105919384
604000,-14.583720409729036
605000,-14.598305102922435
606000,-14.642370381998447
607000,-14.732558807537373
608000,-14.73445991254981
609000,-14.810680015760095
610000,-14.797274850652489
611000,-14.709627828839743
612000,-14.709175368228163
613000,-14.680249735549431
614000,-14.690810746825406
615000,-14.71423408854389
616000,-14.66222417236851
617000,-14.680527924620922
618000,-14.654607016849607
619000,-14.702780677938641
620000,-14.761210050326508
621000,-14.701703193384152
622000,-14.73987166773162
623000,-14.77985096086637
624000,-14.850838041671626
625000,-14.909098643247837
626000,-14.879360617748297
627000,-14.863784262710993
628000,-14.87278688076088
629000,-14.868342732248745
630000,-14.847743423524104
631000,-14.83374727391724
632000,-14.830910751595908
633000,-14.858917806382951
634000,-14.850156703554806
635000,-14.896442987061583
636000,-14.852156861272217
637000,-14.893643175177953
638000,-14.965312499202483
639000,-14.962362729500509
640000,-15.055629112530259
641000,-15.016238177719188
642000,-14.954726427145577
643000,-14.933774830299363
644000,-14.928842413421048
645000,-14.922937894885045
646000,-15.003701187674952
647000,-14.946720514244774
648000,-14.919150123431905
649000,-14.98213636912294
650000,-14.932686456075206
651000,-14.938691672860912
652000,-14.97316651247937
653000,-15.009302259471479
654000,-15.074349263285427
655000,-15.116914234407922
656000,-15.150471256566195
657000,-15.200594111177693
