Frequency [Hz],Amplitude [dB]
172000,0.4102782565790181
173000,0.8945058340274858
174000,0.6782202868932036
175000,0.7223094284011801
176000,0.8095004798073695
177000,1.0653176843735355
178000,1.5551245285231432
179000,1.9052706408644235
180000,2.2418721028419357
181000,2.315194696038028
182000,2.168925429597289
183000,2.3158577228654402
184000,2.9130305425336056
185000,3.1145886077402176
186000,3.2791195663412416
187000,3.344271509459028
188000,3.59915287371864
189000,3.568070729411454
190000,3.8471178966143356
191000,3.9384020726263467
192000,4.465312480732465
193000,4.935266044044555
194000,4.717758332199608
195000,4.881979576154575
196000,5.278996160168953
197000,5.356536273415023
198000,5.584458897933643
199000,5.708699849075424
200000,6.094064799486399
201000,6.2113012679712565
202000,6.5531930108034775
203000,6.708436475799411
204000,6.968067804759751
205000,7.199476800635159
206000,7.465203088629671
207000,7.54558976140138
208000,7.585674022486896
209000,7.7041830637505315
210000,8.272422356672024
211000,8.40008892507907
212000,8.596821340042641
213000,8.667484714274249
214000,8.977445476833509
215000,9.325590662494058
216000,9.454843551672694
217000,9.645038572861285
218000,9.967960542070715
219000,10.250182164063856
220000,10.495203280979133
221000,10.580276341108883
222000,10.897999443664164
223000,11.204532467294971
224000,11.42444515752966
225000,11.6885772139029
226000,12.052388657201938
227000,12.217275662910223
228000,12.503918764595149
229000,12.73766693818242
230000,12.997298596984667
231000,13.33174459525594
232000,13.604320751482444
233000,13.907055798188226
234000,14.050016614906964
235000,14.347014202757745
236000,14.721949996631139
237000,14.946335427885405
238000,15.173378456238051
239000,15.52298004489452
240000,15.766674414082395
241000,16.071272092026685
242000,16.307568334778367
243000,16.565916308381226
244000,16.85788859923503
245000,17.07403050701195
246000,17.25889549460027
247000,17.566725057474933
248000,17.84577296059221
249000,18.003156279424598
250000,18.343925195867726
251000,18.54904245797782
252000,18.749442576529493
253000,18.966797882700888
254000,19.26213125841928
255000,19.41647286188187
256000,19.6378578072694
257000,19.940423426248536
258000,20.064434400563385
259000,20.26090821099945
260000,20.525020978483546
261000,20.70271319068345
262000,20.8682477931864
263000,21.131552150666497
264000,21.293314027303897
265000,21.50832394153284
266000,21.694690882010516
267000,21.923053244088155
268000,22.145581999365483
269000,22.348049364382998
270000,22.499632644930408
271000,22.763673746472417
272000,22.949038261196225
273000,23.09060801341021
274000,23.36347441935593
275000,23.52077563960173
276000,23.634650998126286
277000,23.866868535704864
278000,24.072223100846372
279000,24.19974805108921
280000,24.38025626868781
281000,24.545822483875085
282000,24.716609265136825
283000,24.85692940219966
284000,25.008418853531317
285000,25.165210635583186
286000,25.30889973512274
287000,25.447717363829895
288000,25.614364760871826
289000,25.741067099642592
290000,25.863532047815973
291000,26.0343938967782
292000,26.145798050554685
293000,26.241876385729988
294000,26.352976678579417
295000,26.503344421339406
296000,26.602279866341483
297000,26.728705895905716
298000,26.831650806522678
299000,26.941974189405325
300000,27.038214202694235
301000,27.15016280854792
302000,27.215121742965973
303000,27.34941943827142
304000,27.408861207088076
305000,27.46184846804908
306000,27.54056914723361
307000,27.630479073502563
308000,27.697885022641625
309000,27.731544519969727
310000,27.796147351520347
311000,27.87602476950442
312000,27.936154758843333
313000,27.9635545446216
314000,28.00539531685103
315000,28.102478970375856
316000,28.15382322183695
317000,28.175746459648764
318000,28.180580136451972
319000,28.233706805397155
320000,28.301443018455462
321000,28.347620454643696
322000,28.36940354734645
323000,28.361516943189116
324000,28.428216918471442
325000,28.460217563670945
326000,28.486665135568167
327000,28.515569606600025
328000,28.52051277388791
329000,28.58847982548586
330000,28.625139159771553
331000,28.64037359598987
332000,28.63754840010691
333000,28.668772093409167
334000,28.689226605859645
335000,28.714270145948223
336000,28.714561945861313
337000,28.72487151019209
338000,28.797367291209397
339000,28.801361661012304
340000,28.80815094638038
341000,28.797341778529045
342000,28.775283796462933
343000,28.826254185808633
344000,28.859829151573773
345000,28.837526996587115
346000,28.829831428355437
347000,28.82183190042477
348000,28.868121911338825
349000,28.896285526346052
350000,28.929356326649952
351000,28.88605863183723
352000,28.858717481998582
353000,28.891206839415897
354000,28.90353289132024
355000,28.908875399146808
356000,28.891497257134592
357000,28.869449927212155
358000,28.892871660276978
359000,28.932147293284785
360000,28.931199414635227
361000,28.892680485839527
362000,28.85896488151849
363000,28.909786826423467
364000,28.896507583159888
365000,28.9201037587977
366000,28.91650001335755
367000,28.883551304984287
368000,28.88751639757157
369000,28.91212228031451
370000,28.90249322422044
371000,28.826675483381848
372000,28.808647915590523
373000,28.795054482224636
374000,28.808409440409065
375000,28.801219349924768
376000,28.77928239215872
377000,28.767652889472615
378000,28.6793217692713
379000,28.693543397877352
380000,28.68962125076532
381000,28.674555316305682
382000,28.637231704231475
383000,28.59739329735108
384000,28.585699442288846
385000,28.538928101634554
386000,28.525793489803007
387000,28.531679745505045
388000,28.487906778749572
389000,28.44327761282777
390000,28.420218365706656
391000,28.421367883021126
392000,28.38950102829578
393000,28.259993797420456
394000,28.205357627776124
395000,28.150308572952042
396000,28.110650772278717
397000,28.077581768322265
398000,28.069232962563795
399000,28.035608136558466
400000,27.913744821763355
401000,27.814694370224586
402000,27.77799966921382
403000,27.777297811080857
404000,27.728033822381633
405000,27.658273599737182
406000,27.593764814025484
407000,27.507395033679067
408000,27.436438268019444
409000,27.31591717862869
410000,27.273337519769814
